Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,WeekOfYear,YearMonth
2010-09-23,2010,3,9,September,23,Thursday,False,38,2010-09
2010-09-24,2010,3,9,September,24,Friday,False,38,2010-09
2010-09-25,2010,3,9,September,25,Saturday,True,38,2010-09
2010-09-26,2010,3,9,September,26,Sunday,True,38,2010-09
2010-09-27,2010,3,9,September,27,Monday,False,39,2010-09
2010-09-28,2010,3,9,September,28,Tuesday,False,39,2010-09
2010-09-29,2010,3,9,September,29,Wednesday,False,39,2010-09
2010-09-30,2010,3,9,September,30,Thursday,False,39,2010-09
2010-10-01,2010,4,10,October,1,Friday,False,39,2010-10
2010-10-02,2010,4,10,October,2,Saturday,True,39,2010-10
2010-10-03,2010,4,10,October,3,Sunday,True,39,2010-10
2010-10-04,2010,4,10,October,4,Monday,False,40,2010-10
2010-10-05,2010,4,10,October,5,Tuesday,False,40,2010-10
2010-10-06,2010,4,10,October,6,Wednesday,False,40,2010-10
2010-10-07,2010,4,10,October,7,Thursday,False,40,2010-10
2010-10-08,2010,4,10,October,8,Friday,False,40,2010-10
2010-10-09,2010,4,10,October,9,Saturday,True,40,2010-10
2010-10-10,2010,4,10,October,10,Sunday,True,40,2010-10
2010-10-11,2010,4,10,October,11,Monday,False,41,2010-10
2010-10-12,2010,4,10,October,12,Tuesday,False,41,2010-10
2010-10-13,2010,4,10,October,13,Wednesday,False,41,2010-10
2010-10-14,2010,4,10,October,14,Thursday,False,41,2010-10
2010-10-15,2010,4,10,October,15,Friday,False,41,2010-10
2010-10-16,2010,4,10,October,16,Saturday,True,41,2010-10
2010-10-17,2010,4,10,October,17,Sunday,True,41,2010-10
2010-10-18,2010,4,10,October,18,Monday,False,42,2010-10
2010-10-19,2010,4,10,October,19,Tuesday,False,42,2010-10
2010-10-20,2010,4,10,October,20,Wednesday,False,42,2010-10
2010-10-21,2010,4,10,October,21,Thursday,False,42,2010-10
2010-10-22,2010,4,10,October,22,Friday,False,42,2010-10
2010-10-23,2010,4,10,October,23,Saturday,True,42,2010-10
2010-10-24,2010,4,10,October,24,Sunday,True,42,2010-10
2010-10-25,2010,4,10,October,25,Monday,False,43,2010-10
2010-10-26,2010,4,10,October,26,Tuesday,False,43,2010-10
2010-10-27,2010,4,10,October,27,Wednesday,False,43,2010-10
2010-10-28,2010,4,10,October,28,Thursday,False,43,2010-10
2010-10-29,2010,4,10,October,29,Friday,False,43,2010-10
2010-10-30,2010,4,10,October,30,Saturday,True,43,2010-10
2010-10-31,2010,4,10,October,31,Sunday,True,43,2010-10
2010-11-01,2010,4,11,November,1,Monday,False,44,2010-11
2010-11-02,2010,4,11,November,2,Tuesday,False,44,2010-11
2010-11-03,2010,4,11,November,3,Wednesday,False,44,2010-11
2010-11-04,2010,4,11,November,4,Thursday,False,44,2010-11
2010-11-05,2010,4,11,November,5,Friday,False,44,2010-11
2010-11-06,2010,4,11,November,6,Saturday,True,44,2010-11
2010-11-07,2010,4,11,November,7,Sunday,True,44,2010-11
2010-11-08,2010,4,11,November,8,Monday,False,45,2010-11
2010-11-09,2010,4,11,November,9,Tuesday,False,45,2010-11
2010-11-10,2010,4,11,November,10,Wednesday,False,45,2010-11
2010-11-11,2010,4,11,November,11,Thursday,False,45,2010-11
2010-11-12,2010,4,11,November,12,Friday,False,45,2010-11
2010-11-13,2010,4,11,November,13,Saturday,True,45,2010-11
2010-11-14,2010,4,11,November,14,Sunday,True,45,2010-11
2010-11-15,2010,4,11,November,15,Monday,False,46,2010-11
2010-11-16,2010,4,11,November,16,Tuesday,False,46,2010-11
2010-11-17,2010,4,11,November,17,Wednesday,False,46,2010-11
2010-11-18,2010,4,11,November,18,Thursday,False,46,2010-11
2010-11-19,2010,4,11,November,19,Friday,False,46,2010-11
2010-11-20,2010,4,11,November,20,Saturday,True,46,2010-11
2010-11-21,2010,4,11,November,21,Sunday,True,46,2010-11
2010-11-22,2010,4,11,November,22,Monday,False,47,2010-11
2010-11-23,2010,4,11,November,23,Tuesday,False,47,2010-11
2010-11-24,2010,4,11,November,24,Wednesday,False,47,2010-11
2010-11-25,2010,4,11,November,25,Thursday,False,47,2010-11
2010-11-26,2010,4,11,November,26,Friday,False,47,2010-11
2010-11-27,2010,4,11,November,27,Saturday,True,47,2010-11
2010-11-28,2010,4,11,November,28,Sunday,True,47,2010-11
2010-11-29,2010,4,11,November,29,Monday,False,48,2010-11
2010-11-30,2010,4,11,November,30,Tuesday,False,48,2010-11
2010-12-01,2010,4,12,December,1,Wednesday,False,48,2010-12
2010-12-02,2010,4,12,December,2,Thursday,False,48,2010-12
2010-12-03,2010,4,12,December,3,Friday,False,48,2010-12
2010-12-04,2010,4,12,December,4,Saturday,True,48,2010-12
2010-12-05,2010,4,12,December,5,Sunday,True,48,2010-12
2010-12-06,2010,4,12,December,6,Monday,False,49,2010-12
2010-12-07,2010,4,12,December,7,Tuesday,False,49,2010-12
2010-12-08,2010,4,12,December,8,Wednesday,False,49,2010-12
2010-12-09,2010,4,12,December,9,Thursday,False,49,2010-12
2010-12-10,2010,4,12,December,10,Friday,False,49,2010-12
2010-12-11,2010,4,12,December,11,Saturday,True,49,2010-12
2010-12-12,2010,4,12,December,12,Sunday,True,49,2010-12
2010-12-13,2010,4,12,December,13,Monday,False,50,2010-12
2010-12-14,2010,4,12,December,14,Tuesday,False,50,2010-12
2010-12-15,2010,4,12,December,15,Wednesday,False,50,2010-12
2010-12-16,2010,4,12,December,16,Thursday,False,50,2010-12
2010-12-17,2010,4,12,December,17,Friday,False,50,2010-12
2010-12-18,2010,4,12,December,18,Saturday,True,50,2010-12
2010-12-19,2010,4,12,December,19,Sunday,True,50,2010-12
2010-12-20,2010,4,12,December,20,Monday,False,51,2010-12
2010-12-21,2010,4,12,December,21,Tuesday,False,51,2010-12
2010-12-22,2010,4,12,December,22,Wednesday,False,51,2010-12
2010-12-23,2010,4,12,December,23,Thursday,False,51,2010-12
2010-12-24,2010,4,12,December,24,Friday,False,51,2010-12
2010-12-25,2010,4,12,December,25,Saturday,True,51,2010-12
2010-12-26,2010,4,12,December,26,Sunday,True,51,2010-12
2010-12-27,2010,4,12,December,27,Monday,False,52,2010-12
2010-12-28,2010,4,12,December,28,Tuesday,False,52,2010-12
2010-12-29,2010,4,12,December,29,Wednesday,False,52,2010-12
2010-12-30,2010,4,12,December,30,Thursday,False,52,2010-12
2010-12-31,2010,4,12,December,31,Friday,False,52,2010-12
2011-01-01,2011,1,1,January,1,Saturday,True,52,2011-01
2011-01-02,2011,1,1,January,2,Sunday,True,52,2011-01
2011-01-03,2011,1,1,January,3,Monday,False,1,2011-01
2011-01-04,2011,1,1,January,4,Tuesday,False,1,2011-01
2011-01-05,2011,1,1,January,5,Wednesday,False,1,2011-01
2011-01-06,2011,1,1,January,6,Thursday,False,1,2011-01
2011-01-07,2011,1,1,January,7,Friday,False,1,2011-01
2011-01-08,2011,1,1,January,8,Saturday,True,1,2011-01
2011-01-09,2011,1,1,January,9,Sunday,True,1,2011-01
2011-01-10,2011,1,1,January,10,Monday,False,2,2011-01
2011-01-11,2011,1,1,January,11,Tuesday,False,2,2011-01
2011-01-12,2011,1,1,January,12,Wednesday,False,2,2011-01
2011-01-13,2011,1,1,January,13,Thursday,False,2,2011-01
2011-01-14,2011,1,1,January,14,Friday,False,2,2011-01
2011-01-15,2011,1,1,January,15,Saturday,True,2,2011-01
2011-01-16,2011,1,1,January,16,Sunday,True,2,2011-01
2011-01-17,2011,1,1,January,17,Monday,False,3,2011-01
2011-01-18,2011,1,1,January,18,Tuesday,False,3,2011-01
2011-01-19,2011,1,1,January,19,Wednesday,False,3,2011-01
2011-01-20,2011,1,1,January,20,Thursday,False,3,2011-01
2011-01-21,2011,1,1,January,21,Friday,False,3,2011-01
2011-01-22,2011,1,1,January,22,Saturday,True,3,2011-01
2011-01-23,2011,1,1,January,23,Sunday,True,3,2011-01
2011-01-24,2011,1,1,January,24,Monday,False,4,2011-01
2011-01-25,2011,1,1,January,25,Tuesday,False,4,2011-01
2011-01-26,2011,1,1,January,26,Wednesday,False,4,2011-01
2011-01-27,2011,1,1,January,27,Thursday,False,4,2011-01
2011-01-28,2011,1,1,January,28,Friday,False,4,2011-01
2011-01-29,2011,1,1,January,29,Saturday,True,4,2011-01
2011-01-30,2011,1,1,January,30,Sunday,True,4,2011-01
2011-01-31,2011,1,1,January,31,Monday,False,5,2011-01
2011-02-01,2011,1,2,February,1,Tuesday,False,5,2011-02
2011-02-02,2011,1,2,February,2,Wednesday,False,5,2011-02
2011-02-03,2011,1,2,February,3,Thursday,False,5,2011-02
2011-02-04,2011,1,2,February,4,Friday,False,5,2011-02
2011-02-05,2011,1,2,February,5,Saturday,True,5,2011-02
2011-02-06,2011,1,2,February,6,Sunday,True,5,2011-02
2011-02-07,2011,1,2,February,7,Monday,False,6,2011-02
2011-02-08,2011,1,2,February,8,Tuesday,False,6,2011-02
2011-02-09,2011,1,2,February,9,Wednesday,False,6,2011-02
2011-02-10,2011,1,2,February,10,Thursday,False,6,2011-02
2011-02-11,2011,1,2,February,11,Friday,False,6,2011-02
2011-02-12,2011,1,2,February,12,Saturday,True,6,2011-02
2011-02-13,2011,1,2,February,13,Sunday,True,6,2011-02
2011-02-14,2011,1,2,February,14,Monday,False,7,2011-02
2011-02-15,2011,1,2,February,15,Tuesday,False,7,2011-02
2011-02-16,2011,1,2,February,16,Wednesday,False,7,2011-02
2011-02-17,2011,1,2,February,17,Thursday,False,7,2011-02
2011-02-18,2011,1,2,February,18,Friday,False,7,2011-02
2011-02-19,2011,1,2,February,19,Saturday,True,7,2011-02
2011-02-20,2011,1,2,February,20,Sunday,True,7,2011-02
2011-02-21,2011,1,2,February,21,Monday,False,8,2011-02
2011-02-22,2011,1,2,February,22,Tuesday,False,8,2011-02
2011-02-23,2011,1,2,February,23,Wednesday,False,8,2011-02
2011-02-24,2011,1,2,February,24,Thursday,False,8,2011-02
2011-02-25,2011,1,2,February,25,Friday,False,8,2011-02
2011-02-26,2011,1,2,February,26,Saturday,True,8,2011-02
2011-02-27,2011,1,2,February,27,Sunday,True,8,2011-02
2011-02-28,2011,1,2,February,28,Monday,False,9,2011-02
2011-03-01,2011,1,3,March,1,Tuesday,False,9,2011-03
2011-03-02,2011,1,3,March,2,Wednesday,False,9,2011-03
2011-03-03,2011,1,3,March,3,Thursday,False,9,2011-03
2011-03-04,2011,1,3,March,4,Friday,False,9,2011-03
2011-03-05,2011,1,3,March,5,Saturday,True,9,2011-03
2011-03-06,2011,1,3,March,6,Sunday,True,9,2011-03
2011-03-07,2011,1,3,March,7,Monday,False,10,2011-03
2011-03-08,2011,1,3,March,8,Tuesday,False,10,2011-03
2011-03-09,2011,1,3,March,9,Wednesday,False,10,2011-03
2011-03-10,2011,1,3,March,10,Thursday,False,10,2011-03
2011-03-11,2011,1,3,March,11,Friday,False,10,2011-03
2011-03-12,2011,1,3,March,12,Saturday,True,10,2011-03
2011-03-13,2011,1,3,March,13,Sunday,True,10,2011-03
2011-03-14,2011,1,3,March,14,Monday,False,11,2011-03
2011-03-15,2011,1,3,March,15,Tuesday,False,11,2011-03
2011-03-16,2011,1,3,March,16,Wednesday,False,11,2011-03
2011-03-17,2011,1,3,March,17,Thursday,False,11,2011-03
2011-03-18,2011,1,3,March,18,Friday,False,11,2011-03
2011-03-19,2011,1,3,March,19,Saturday,True,11,2011-03
2011-03-20,2011,1,3,March,20,Sunday,True,11,2011-03
2011-03-21,2011,1,3,March,21,Monday,False,12,2011-03
2011-03-22,2011,1,3,March,22,Tuesday,False,12,2011-03
2011-03-23,2011,1,3,March,23,Wednesday,False,12,2011-03
2011-03-24,2011,1,3,March,24,Thursday,False,12,2011-03
2011-03-25,2011,1,3,March,25,Friday,False,12,2011-03
2011-03-26,2011,1,3,March,26,Saturday,True,12,2011-03
2011-03-27,2011,1,3,March,27,Sunday,True,12,2011-03
2011-03-28,2011,1,3,March,28,Monday,False,13,2011-03
2011-03-29,2011,1,3,March,29,Tuesday,False,13,2011-03
2011-03-30,2011,1,3,March,30,Wednesday,False,13,2011-03
2011-03-31,2011,1,3,March,31,Thursday,False,13,2011-03
2011-04-01,2011,2,4,April,1,Friday,False,13,2011-04
2011-04-02,2011,2,4,April,2,Saturday,True,13,2011-04
2011-04-03,2011,2,4,April,3,Sunday,True,13,2011-04
2011-04-04,2011,2,4,April,4,Monday,False,14,2011-04
2011-04-05,2011,2,4,April,5,Tuesday,False,14,2011-04
2011-04-06,2011,2,4,April,6,Wednesday,False,14,2011-04
2011-04-07,2011,2,4,April,7,Thursday,False,14,2011-04
2011-04-08,2011,2,4,April,8,Friday,False,14,2011-04
2011-04-09,2011,2,4,April,9,Saturday,True,14,2011-04
2011-04-10,2011,2,4,April,10,Sunday,True,14,2011-04
2011-04-11,2011,2,4,April,11,Monday,False,15,2011-04
2011-04-12,2011,2,4,April,12,Tuesday,False,15,2011-04
2011-04-13,2011,2,4,April,13,Wednesday,False,15,2011-04
2011-04-14,2011,2,4,April,14,Thursday,False,15,2011-04
2011-04-15,2011,2,4,April,15,Friday,False,15,2011-04
2011-04-16,2011,2,4,April,16,Saturday,True,15,2011-04
2011-04-17,2011,2,4,April,17,Sunday,True,15,2011-04
2011-04-18,2011,2,4,April,18,Monday,False,16,2011-04
2011-04-19,2011,2,4,April,19,Tuesday,False,16,2011-04
2011-04-20,2011,2,4,April,20,Wednesday,False,16,2011-04
2011-04-21,2011,2,4,April,21,Thursday,False,16,2011-04
2011-04-22,2011,2,4,April,22,Friday,False,16,2011-04
2011-04-23,2011,2,4,April,23,Saturday,True,16,2011-04
2011-04-24,2011,2,4,April,24,Sunday,True,16,2011-04
2011-04-25,2011,2,4,April,25,Monday,False,17,2011-04
2011-04-26,2011,2,4,April,26,Tuesday,False,17,2011-04
2011-04-27,2011,2,4,April,27,Wednesday,False,17,2011-04
2011-04-28,2011,2,4,April,28,Thursday,False,17,2011-04
2011-04-29,2011,2,4,April,29,Friday,False,17,2011-04
2011-04-30,2011,2,4,April,30,Saturday,True,17,2011-04
2011-05-01,2011,2,5,May,1,Sunday,True,17,2011-05
2011-05-02,2011,2,5,May,2,Monday,False,18,2011-05
2011-05-03,2011,2,5,May,3,Tuesday,False,18,2011-05
2011-05-04,2011,2,5,May,4,Wednesday,False,18,2011-05
2011-05-05,2011,2,5,May,5,Thursday,False,18,2011-05
2011-05-06,2011,2,5,May,6,Friday,False,18,2011-05
2011-05-07,2011,2,5,May,7,Saturday,True,18,2011-05
2011-05-08,2011,2,5,May,8,Sunday,True,18,2011-05
2011-05-09,2011,2,5,May,9,Monday,False,19,2011-05
2011-05-10,2011,2,5,May,10,Tuesday,False,19,2011-05
2011-05-11,2011,2,5,May,11,Wednesday,False,19,2011-05
2011-05-12,2011,2,5,May,12,Thursday,False,19,2011-05
2011-05-13,2011,2,5,May,13,Friday,False,19,2011-05
2011-05-14,2011,2,5,May,14,Saturday,True,19,2011-05
2011-05-15,2011,2,5,May,15,Sunday,True,19,2011-05
2011-05-16,2011,2,5,May,16,Monday,False,20,2011-05
2011-05-17,2011,2,5,May,17,Tuesday,False,20,2011-05
2011-05-18,2011,2,5,May,18,Wednesday,False,20,2011-05
2011-05-19,2011,2,5,May,19,Thursday,False,20,2011-05
2011-05-20,2011,2,5,May,20,Friday,False,20,2011-05
2011-05-21,2011,2,5,May,21,Saturday,True,20,2011-05
2011-05-22,2011,2,5,May,22,Sunday,True,20,2011-05
2011-05-23,2011,2,5,May,23,Monday,False,21,2011-05
2011-05-24,2011,2,5,May,24,Tuesday,False,21,2011-05
2011-05-25,2011,2,5,May,25,Wednesday,False,21,2011-05
2011-05-26,2011,2,5,May,26,Thursday,False,21,2011-05
2011-05-27,2011,2,5,May,27,Friday,False,21,2011-05
2011-05-28,2011,2,5,May,28,Saturday,True,21,2011-05
2011-05-29,2011,2,5,May,29,Sunday,True,21,2011-05
2011-05-30,2011,2,5,May,30,Monday,False,22,2011-05
2011-05-31,2011,2,5,May,31,Tuesday,False,22,2011-05
2011-06-01,2011,2,6,June,1,Wednesday,False,22,2011-06
2011-06-02,2011,2,6,June,2,Thursday,False,22,2011-06
2011-06-03,2011,2,6,June,3,Friday,False,22,2011-06
2011-06-04,2011,2,6,June,4,Saturday,True,22,2011-06
2011-06-05,2011,2,6,June,5,Sunday,True,22,2011-06
2011-06-06,2011,2,6,June,6,Monday,False,23,2011-06
2011-06-07,2011,2,6,June,7,Tuesday,False,23,2011-06
2011-06-08,2011,2,6,June,8,Wednesday,False,23,2011-06
2011-06-09,2011,2,6,June,9,Thursday,False,23,2011-06
2011-06-10,2011,2,6,June,10,Friday,False,23,2011-06
2011-06-11,2011,2,6,June,11,Saturday,True,23,2011-06
2011-06-12,2011,2,6,June,12,Sunday,True,23,2011-06
2011-06-13,2011,2,6,June,13,Monday,False,24,2011-06
2011-06-14,2011,2,6,June,14,Tuesday,False,24,2011-06
2011-06-15,2011,2,6,June,15,Wednesday,False,24,2011-06
2011-06-16,2011,2,6,June,16,Thursday,False,24,2011-06
2011-06-17,2011,2,6,June,17,Friday,False,24,2011-06
2011-06-18,2011,2,6,June,18,Saturday,True,24,2011-06
2011-06-19,2011,2,6,June,19,Sunday,True,24,2011-06
2011-06-20,2011,2,6,June,20,Monday,False,25,2011-06
2011-06-21,2011,2,6,June,21,Tuesday,False,25,2011-06
2011-06-22,2011,2,6,June,22,Wednesday,False,25,2011-06
2011-06-23,2011,2,6,June,23,Thursday,False,25,2011-06
2011-06-24,2011,2,6,June,24,Friday,False,25,2011-06
2011-06-25,2011,2,6,June,25,Saturday,True,25,2011-06
2011-06-26,2011,2,6,June,26,Sunday,True,25,2011-06
2011-06-27,2011,2,6,June,27,Monday,False,26,2011-06
2011-06-28,2011,2,6,June,28,Tuesday,False,26,2011-06
2011-06-29,2011,2,6,June,29,Wednesday,False,26,2011-06
2011-06-30,2011,2,6,June,30,Thursday,False,26,2011-06
2011-07-01,2011,3,7,July,1,Friday,False,26,2011-07
2011-07-02,2011,3,7,July,2,Saturday,True,26,2011-07
2011-07-03,2011,3,7,July,3,Sunday,True,26,2011-07
2011-07-04,2011,3,7,July,4,Monday,False,27,2011-07
2011-07-05,2011,3,7,July,5,Tuesday,False,27,2011-07
2011-07-06,2011,3,7,July,6,Wednesday,False,27,2011-07
2011-07-07,2011,3,7,July,7,Thursday,False,27,2011-07
2011-07-08,2011,3,7,July,8,Friday,False,27,2011-07
2011-07-09,2011,3,7,July,9,Saturday,True,27,2011-07
2011-07-10,2011,3,7,July,10,Sunday,True,27,2011-07
2011-07-11,2011,3,7,July,11,Monday,False,28,2011-07
2011-07-12,2011,3,7,July,12,Tuesday,False,28,2011-07
2011-07-13,2011,3,7,July,13,Wednesday,False,28,2011-07
2011-07-14,2011,3,7,July,14,Thursday,False,28,2011-07
2011-07-15,2011,3,7,July,15,Friday,False,28,2011-07
2011-07-16,2011,3,7,July,16,Saturday,True,28,2011-07
2011-07-17,2011,3,7,July,17,Sunday,True,28,2011-07
2011-07-18,2011,3,7,July,18,Monday,False,29,2011-07
2011-07-19,2011,3,7,July,19,Tuesday,False,29,2011-07
2011-07-20,2011,3,7,July,20,Wednesday,False,29,2011-07
2011-07-21,2011,3,7,July,21,Thursday,False,29,2011-07
2011-07-22,2011,3,7,July,22,Friday,False,29,2011-07
